11,2021-03-01 05:30:00,1216.166263,46204.63,46026.74,46039.15,46200.47
timestamp,volume,high,low,open,close
2021-03-01 00:00:00,2595.010321,46338.22,44950.53,45134.11,46149.99
2021-03-01 00:30:00,2304.564512,46571.3,46122.24,46149.99,46217.19
2021-03-01 01:00:00,1356.793337,46343.13,45850.0,46217.18,46114.03
2021-03-01 01:30:00,1328.592668,46492.33,46042.72,46114.02,46161.83
2021-03-01 02:00:00,1642.5328869999998,46796.94,46102.84,46166.16,46652.85
2021-03-01 02:30:00,1284.418212,46774.99,46336.43,46652.85,46419.56
2021-03-01 03:00:00,1119.438474,46540.31,46204.08,46414.7,46505.97
2021-03-01 03:30:00,850.910438,46533.91,46238.38,46506.34,46336.37
2021-03-01 04:00:00,1065.584969,46488.39,45959.7,46336.38,46165.13
2021-03-01 04:30:00,1086.794935,46688.13,46000.11,46162.23,46458.33
2021-03-01 05:00:00,935.649846,46486.33,45980.0,46474.53,46046.57
2021-03-01 05:30:00,1216.166263,46204.63,46026.74,46039.15,46200.47
2021-03-01 06:00:00,864.039196,46272.38,46058.37,46200.46,46241.94
2021-03-01 06:30:00,1598.7167960000002,46267.92,45641.02,46241.94,45857.3
2021-03-01 07:00:00,1183.770011,46248.0,45837.28,45857.3,46123.16
2021-03-01 07:30:00,1573.701415,46425.61,45900.0,46123.16,46288.18
2021-03-01 08:00:00,2766.830345,47060.68,46272.1,46291.87,46882.48
2021-03-01 08:30:00,2127.105101,47300.0,46815.38,46882.48,47009.38
2021-03-01 09:00:00,2314.314261,47448.82,46900.0,47009.38,47183.83
2021-03-01 09:30:00,1576.211992,47500.0,47130.83,47179.12,47350.12
2021-03-01 10:00:00,1626.818749,47426.55,46968.0,47347.51,47168.42
2021-03-01 10:30:00,2163.680048,47714.61,47168.42,47168.42,47615.66
2021-03-01 11:00:00,4269.859832,48050.0,47400.0,47615.66,47659.39
2021-03-01 11:30:00,1484.648001,47918.44,47500.0,47659.74,47722.78
2021-03-01 12:00:00,1638.143073,47979.18,47450.32,47722.42,47468.35
2021-03-01 12:30:00,1546.793012,48044.63,47469.08,47472.4,47913.8
2021-03-01 13:00:00,2909.050163,48441.96,47908.3,47913.8,48111.09
2021-03-01 13:30:00,2330.059722,48265.31,47757.78,48111.09,47799.33
2021-03-01 14:00:00,2140.852619,48332.99,47580.1,47799.34,48208.6
2021-03-01 14:30:00,2423.242547,48564.03,48065.53,48208.6,48083.04
2021-03-01 15:00:00,2547.6763220000003,48882.28,48065.54,48083.04,48772.9
2021-03-01 15:30:00,3209.424811,49298.0,48756.51,48772.9,49188.0
2021-03-01 16:00:00,3381.663405,49469.99,48751.4,49187.99,49074.18
2021-03-01 16:30:00,2456.329435,49256.08,48530.36,49071.97,49065.4
2021-03-01 17:00:00,1530.640673,49200.0,48697.67,49069.6,49035.31
2021-03-01 17:30:00,1977.557508,49140.74,48527.27,49027.49,48565.0
2021-03-01 18:00:00,2030.241935,48777.71,48233.33,48565.0,48434.5
2021-03-01 18:30:00,1090.099049,48600.0,48300.5,48434.5,48465.27
2021-03-01 19:00:00,1009.151101,48700.0,48244.76,48465.27,48297.34
2021-03-01 19:30:00,1230.971581,48426.2,48019.06,48297.25,48262.83
2021-03-01 20:00:00,1935.683537,48916.55,48211.04,48262.66,48358.98
2021-03-01 20:30:00,2560.529767,48570.0,47876.0,48354.68,48512.4
2021-03-01 21:00:00,968.076714,48723.1,48338.25,48512.99,48544.28
2021-03-01 21:30:00,1043.320263,48872.0,48440.31,48544.28,48784.09
2021-03-01 22:00:00,598.299354,48969.2,48588.89,48784.46,48964.96
2021-03-01 22:30:00,1284.142328,49300.0,48930.0,48961.41,49137.73
2021-03-01 23:00:00,1909.524656,49790.0,49064.62,49137.73,49666.67
2021-03-01 23:30:00,998.485464,49755.0,49413.94,49662.18,49587.03
2021-03-02 00:00:00,2433.010495,50200.0,49515.15,49595.76,50180.0
2021-03-02 00:30:00,1913.803529,50179.99,49278.94,50179.99,49354.62
2021-03-02 01:00:00,1466.5827,49355.59,48710.0,49354.63,48903.79
2021-03-02 01:30:00,1184.57989,49699.93,48800.0,48907.88,49368.6
2021-03-02 02:00:00,1723.202594,49640.0,49045.45,49368.6,49403.41
2021-03-02 02:30:00,1186.133117,49777.0,49147.74,49403.41,49272.74
2021-03-02 03:00:00,1207.835062,49398.0,48895.33,49272.74,48934.84
2021-03-02 03:30:00,926.360828,49099.85,48825.0,48934.84,48974.75
2021-03-02 04:00:00,1385.913235,49243.0,48544.75,48974.74,48754.26
2021-03-02 04:30:00,827.552181,49163.1,48731.24,48754.26,49159.16
2021-03-02 05:00:00,1143.686914,49402.07,48850.0,49159.16,48923.06
2021-03-02 05:30:00,800.917742,49014.2,48660.28,48923.06,48672.07
2021-03-02 06:00:00,1800.602867,48745.93,48333.0,48673.88,48672.98
2021-03-02 06:30:00,933.057287,48846.03,48496.1,48672.98,48638.36
2021-03-02 07:00:00,1031.745867,48727.27,48335.06,48631.58,48649.64
2021-03-02 07:30:00,1246.246752,48833.1,48301.36,48649.63,48331.61
2021-03-02 08:00:00,1474.236698,48962.38,48270.69,48331.6,48954.27
2021-03-02 08:30:00,1521.959937,49222.0,48794.49,48954.27,48858.08
2021-03-02 09:00:00,1083.299616,49135.9,48861.22,48861.23,49006.64
2021-03-02 09:30:00,1186.115869,49265.54,48980.75,49006.63,49144.23
2021-03-02 10:00:00,944.273934,49263.95,48888.01,49144.22,48993.4
2021-03-02 10:30:00,1297.999475,49159.72,48550.0,48991.13,48721.09
