,timestamp,open,high,low,close,volume
15860,2021-02-16 04:30:00,382.9351465832911,383.31380963391865,382.9351465832911,383.0128210552148,18480
15859,2021-02-16 05:00:00,382.9836931282434,383.1972979260333,382.7603790214631,383.17787930805235,20142
15858,2021-02-16 05:30:00,383.17787930805235,383.2846817069473,383.04194898218606,383.08078621814786,11587
15857,2021-02-16 06:00:00,383.11962345410967,383.2943910159377,383.11962345410967,383.1972979260333,4919
15856,2021-02-16 06:30:00,383.1972979260333,383.2070072350237,382.867181420358,383.2070072350237,28990
15855,2021-02-16 07:00:00,383.21671654401416,383.51770512271804,383.21671654401416,383.48857719574676,88674
15854,2021-02-16 07:30:00,383.47886788675623,383.5662516676703,383.2943910159377,383.31380963391865,89136
15853,2021-02-16 08:00:00,383.27497239795684,383.36235617887087,383.2070072350237,383.22642585300457,122535
15852,2021-02-16 08:30:00,383.22642585300457,383.8575309373838,382.867181420358,383.1390420720906,178906
15851,2021-02-16 09:00:00,383.1681699990619,383.1681699990619,382.4496811337687,382.5467742236732,213001
15850,2021-02-16 09:30:00,382.5079369877114,382.6050300776159,382.1584018640553,382.5661928416541,285029
15849,2021-02-16 10:00:00,382.5079369877114,382.71183247651084,381.8234307038848,382.2359792428889,4972276
15848,2021-02-16 10:30:00,382.27491357194066,382.585611459635,381.40107576280025,382.5661928416541,3449885
15847,2021-02-16 11:00:00,382.585611459635,382.7021231675204,380.9932847852014,381.78944812241826,4710336
15846,2021-02-16 11:30:00,381.77973881342774,381.93508775727497,381.01270340318234,381.1777616560199,3092121
15845,2021-02-16 12:00:00,381.1777616560199,381.5078781616952,380.5175286446695,380.67287758851666,3807763
15844,2021-02-16 12:30:00,380.6631682795262,381.4689438326435,380.1485749030324,381.39136645380984,3454930
15843,2021-02-16 13:00:00,381.40107576280025,381.5272967796761,381.0515406391441,381.4544769622477,1814878
15842,2021-02-16 13:30:00,381.4690409257334,381.6535177965519,381.2666989263725,381.4971008287158,1277032
15841,2021-02-16 14:00:00,381.47875023472386,381.77002950443733,381.0612499481346,381.0903778751059,2732360
15840,2021-02-16 14:30:00,381.10008718409637,381.77973881342774,381.0903778751059,381.76993241134744,1694274
15839,2021-02-16 15:00:00,381.77002950443733,381.85741328535136,381.0612499481346,381.41088216488066,2051733
15838,2021-02-16 15:30:00,381.41262984049894,381.57584332462835,380.96415685823007,381.29427336390535,3093372
15837,2021-02-16 16:00:00,381.2845640549149,381.5164223536068,380.6146217345739,380.9350289312587,7050237
15836,2021-02-16 16:30:00,380.9447382402492,381.19718027400086,380.702005515488,380.79909860539243,4576803
15835,2021-02-16 17:00:00,380.8088079143829,381.19718027400086,380.77967998741155,381.12921511106777,146604
15834,2021-02-16 17:30:00,381.0903778751059,381.18747096501045,380.95444754923966,380.9932847852014,79570
15833,2021-02-16 18:00:00,380.97386616722054,381.1680523470295,380.95444754923966,381.0515406391441,35293
15832,2021-02-16 18:30:00,381.0903778751059,381.3039826728958,380.6340403525548,380.79909860539243,156599
15831,2021-02-16 19:00:00,380.92531962226826,380.92531962226826,380.2747959199083,380.3427610828414,110632
15830,2021-02-16 19:30:00,380.32334246486045,380.33305177385097,379.87671425129986,380.0514818131279,74059
15829,2021-02-16 20:00:00,380.1485749030324,380.30392384687957,379.88642356029027,380.09031904908977,39638
15828,2021-02-17 04:30:00,380.983575476211,381.32340129087675,380.70200551548805,380.86706376832564,27917
15827,2021-02-17 05:00:00,380.88648238630657,380.89619169529703,380.3815983188032,380.5563658806313,12367
15826,2021-02-17 05:30:00,380.5563658806313,380.85735445933517,380.5563658806313,380.85735445933517,2123
15825,2021-02-17 06:00:00,380.89619169529703,380.9350289312588,380.64374966154537,380.69229620649753,31611
15824,2021-02-17 06:30:00,380.7408427514498,380.87677307731605,380.5757844986122,380.7408427514498,10664
15823,2021-02-17 07:00:00,380.7699706784212,380.9350289312588,380.7699706784212,380.9350289312588,16207
15822,2021-02-17 07:30:00,380.90590100428744,381.0127034031824,380.8185172233734,380.89619169529703,64875
15821,2021-02-17 08:00:00,380.89619169529703,381.26514543693406,380.84764515034476,381.14863372904864,128390
15820,2021-02-17 08:30:00,381.22630820097226,381.5758433246284,380.4398541727459,380.7893892964021,395765
15819,2021-02-17 09:00:00,380.9253196222683,380.9641568582301,379.468923273701,379.9640980322139,462035
15818,2021-02-17 09:30:00,379.9835166501949,380.20683075697514,379.0417136781213,379.1193881500449,396802
15817,2021-02-17 10:00:00,379.0708416050927,380.28450522889875,378.0125269251338,379.6922373804814,7659773
15816,2021-02-17 10:30:00,379.6922373804814,380.333051773851,378.8787914732616,379.1339521135306,3990216
15815,2021-02-17 11:00:00,379.1388067680258,380.00293526817575,378.7213064814365,379.81855549044707,3984649
15814,2021-02-17 11:30:00,379.80874908836677,379.8961328692808,378.2892422313616,378.7989809533601,4293329
15813,2021-02-17 12:00:00,378.7989809533601,379.3329929478348,378.15816655999055,379.20677193095895,3239866
15812,2021-02-17 12:30:00,379.20677193095895,379.5398012293314,379.01258575114997,379.5398012293314,2154763
15811,2021-02-17 13:00:00,379.5417430911294,379.9398247597378,379.44950465572015,379.6618472433413,1444519
15810,2021-02-17 13:30:00,379.65340014451954,380.2165400659656,379.58543498158645,380.14857490303245,2337460
15809,2021-02-17 14:00:00,380.13993361803097,380.1679935210134,379.7990397793763,379.8961328692808,1624499
15808,2021-02-17 14:30:00,379.8961328692808,380.7408427514498,379.8961328692808,380.00293526817575,2342228
15807,2021-02-17 15:00:00,380.00293526817575,380.5757844986122,379.8864235602903,380.44956348173633,1583830
15806,2021-02-17 15:30:00,380.44956348173633,380.99328478520147,380.3815983188032,380.76026136943074,2895493
15805,2021-02-17 16:00:00,380.76026136943074,381.2457268189532,380.62433104356444,381.0224127121728,7133048
15804,2021-02-17 16:30:00,381.0321220211633,381.05154063914415,380.15440048842675,380.7748253329164,4389740
15803,2021-02-17 17:00:00,380.7893892964021,380.9641568582301,380.7408427514498,380.9350289312588,452617
15802,2021-02-17 17:30:00,380.9641568582301,381.0612499481347,380.89619169529703,381.0321220211633,159578
15801,2021-02-17 18:00:00,381.04183133015374,381.09037787510596,380.983575476211,381.05154063914415,93157
15800,2021-02-17 18:30:00,381.05154063914415,381.09037787510596,380.70200551548805,380.7699706784212,88872
15799,2021-02-17 19:00:00,380.8282265323639,381.2748547459245,380.7893892964021,381.17776165602,23622
15798,2021-02-17 19:30:00,381.2554361279436,381.6243898695806,381.2554361279436,381.47875023472386,59857
15797,2021-02-17 20:00:00,381.4981688527048,381.77002950443733,381.4010757628003,381.66322710554243,56146
15796,2021-02-18 04:30:00,380.7602613694306,380.7602613694306,380.0806097400992,380.2165400659655,6461
15795,2021-02-18 05:00:00,379.8864235602902,380.20683075697497,379.7213653074526,380.119446976061,5342
15794,2021-02-18 05:30:00,380.1582842120228,380.19712144798456,379.80874908836665,379.84758632432846,5170
15793,2021-02-18 06:00:00,379.82816770634753,379.9738073412043,379.57572567259587,379.6534001445194,9462
15792,2021-02-18 06:30:00,379.6534001445194,379.6534001445194,378.83781818932175,379.43979534672957,127886
15791,2021-02-18 07:00:00,379.3815394927869,379.643690835529,379.3038650208633,379.5854349815863,13210
15790,2021-02-18 07:30:00,379.67281876250036,379.73107461644304,379.5077605096627,379.6631094535099,107369
15789,2021-02-18 08:00:00,379.7504932344239,379.9446794142329,379.67281876250036,379.6825280714908,174976
15788,2021-02-18 08:30:00,379.6923344735711,380.47869140870756,379.07084160509254,379.33299294783467,418981
15787,2021-02-18 09:00:00,379.33299294783467,379.43979534672957,378.25525964989487,378.517410992637,602910
15786,2021-02-18 09:30:00,378.517410992637,378.5368296106179,377.73095696441067,378.2455503409044,410724
15785,2021-02-18 10:00:00,378.2649689588853,378.9446205882167,377.5853173295539,378.49799237465606,6300126
15784,2021-02-18 10:30:00,378.4882830656656,378.5368296106179,376.6046771215186,377.2107321887024,6906510
15783,2021-02-18 11:00:00,377.196944969936,378.14845725099997,376.46874679565235,377.6843522812565,4989837
15782,2021-02-18 11:30:00,377.6775557649632,378.5271203016274,377.4202590767163,377.87785880943613,3174294
15781,2021-02-18 12:00:00,377.8668872902769,378.0610734700859,377.3814218407545,377.6241545655157,2528633
15780,2021-02-18 12:30:00,377.6241545655157,377.9251431442196,376.91537500921294,377.910579180734,2579475
15779,2021-02-18 13:00:00,377.9057245262387,378.10962001503816,377.5950266385443,377.85232332679124,1881284
15778,2021-02-18 13:30:00,377.8493134410042,379.080550914083,377.51735216662075,378.89121938876923,2950069
15777,2021-02-18 14:00:00,378.8960740432645,379.18735331297796,378.8086902623504,378.9106380067501,1945451
15776,2021-02-18 14:30:00,378.91452173034634,379.59514429057674,378.886364734274,379.3718301837965,3334975
15775,2021-02-18 15:00:00,379.35726622031075,379.7602025434144,379.1290974590352,379.6825280714908,3629084
15774,2021-02-18 15:30:00,379.67281876250036,380.05148181312785,379.50911981292137,379.7893304703858,2745031
15773,2021-02-18 16:00:00,379.7893304703858,380.1340109395466,379.0417136781212,379.39124880177735,9425779
15772,2021-02-18 16:30:00,379.40095811076776,379.67281876250036,379.15822538600656,379.2941557118728,4139940
15771,2021-02-18 17:00:00,379.2844464028824,379.4592139647105,379.20677193095884,379.3427022568251,152458
15770,2021-02-18 17:30:00,379.21648123994925,379.35241156581554,379.21648123994925,379.33299294783467,37571
15769,2021-02-18 18:00:00,379.3427022568251,379.4106674197582,379.25531847591105,379.3815394927869,22293
15768,2021-02-18 18:30:00,379.3815394927869,379.6631094535099,379.24560916692064,379.556307054615,70015
15767,2021-02-18 19:00:00,379.5660163636054,379.6145629085577,378.7018878634555,378.8572368073027,97660
15766,2021-02-18 19:30:00,378.8766554252836,379.0999695320639,378.79898095335994,378.93491127922624,21562
15765,2021-02-18 20:00:00,378.9640392061976,379.14841898392626,378.9252019702358,379.0999695320639,18486
15764,2021-02-19 04:30:00,379.7116559984621,380.012644577166,379.3815394927868,379.8475863243284,14208
15763,2021-02-19 05:00:00,380.0029352681756,380.6340403525547,380.0029352681756,380.20683075697497,25750
15762,2021-02-19 05:30:00,380.30392384687946,380.76997067842103,379.8475863243284,380.36217970082214,29408
15761,2021-02-19 06:00:00,380.36217970082214,380.54665657164065,380.2553773019272,380.54665657164065,10134
15760,2021-02-19 06:30:00,380.49811002668844,380.53694726265024,380.02235388615645,380.2359586839463,29404
15759,2021-02-19 07:00:00,380.1874121389941,380.20683075697497,379.92526079625196,380.06119112211826,8889
15758,2021-02-19 07:30:00,379.9640980322137,380.8379358413541,379.9640980322137,380.7893892964019,78422
15757,2021-02-19 08:00:00,380.81851722337325,381.10008718409625,380.6049124255834,380.74084275144963,293646
15756,2021-02-19 08:30:00,380.2846023219885,381.10008718409625,378.66305062749365,380.9932847852013,254183
15755,2021-02-19 09:00:00,380.96415685822996,381.34281990885745,380.86706376832547,381.1777616560198,156052
15754,2021-02-19 09:30:00,381.15834303803894,381.15834303803894,380.54665657164065,380.6728775885165,198755
15753,2021-02-19 10:00:00,380.6728775885165,380.86706376832547,379.69223738048123,380.6146217345738,6395969
15752,2021-02-19 10:30:00,380.6340403525547,380.76511602392577,379.92526079625196,380.2457650860267,3397567
15751,2021-02-19 11:00:00,380.26023195642244,380.75055206044004,380.08060974009913,380.6049124255834,5133559
15750,2021-02-19 11:30:00,380.6059804495723,380.9350289312586,380.4689820997171,380.8961916952968,2875314
15749,2021-02-19 12:00:00,380.8767730773159,380.9738661672204,380.32334246486033,380.36217970082214,4526884
15748,2021-02-19 12:30:00,380.36217970082214,380.4204355547648,379.42037672874864,379.59135766007046,5059157
15747,2021-02-19 13:00:00,379.5951442905767,379.73592927093824,378.76227976537604,379.25531847591105,5646800
15746,2021-02-19 13:30:00,379.2456091669206,379.3815394927868,378.51741099263694,379.0402572817726,6982978
15745,2021-02-19 14:00:00,379.04171367812114,379.50776050966266,378.66305062749365,379.45921396471044,2888131
15744,2021-02-19 14:30:00,379.46329187448646,379.68252807149076,378.3329341218184,378.44944582970373,2785769
15743,2021-02-19 15:00:00,378.4397365207133,379.0999695320638,378.43002721172286,379.05142298711155,3572611
15742,2021-02-19 15:30:00,379.04171367812114,379.5174698186531,378.8281088803313,379.31357432985374,4752281
15741,2021-02-19 16:00:00,379.30386502086327,379.5757256725958,378.22613172292347,378.6824692454745,10857558
15740,2021-02-19 16:30:00,378.6727599364841,378.7310157904268,378.04165485210495,378.2940968858566,12544298
15739,2021-02-19 17:00:00,378.3523527397993,378.692178554465,378.129038633019,378.27467826787574,1747510
15738,2021-02-19 17:30:00,378.32322481282796,378.692178554465,378.0513641610954,378.22613172292347,93584
15737,2021-02-19 18:00:00,378.18729448696166,378.692178554465,378.10000779913753,378.3523527397993,193294
15736,2021-02-19 18:30:00,378.28438757686615,378.692178554465,378.1387479420094,378.2940968858566,39854
15735,2021-02-19 19:00:00,378.36206204878977,378.51741099263694,378.22613172292347,378.23584103191394,37772
15734,2021-02-19 19:30:00,378.32322481282796,378.44944582970373,378.23584103191394,378.27467826787574,8352
15733,2021-02-19 20:00:00,378.27467826787574,378.3717713577802,378.24555034090434,378.3717713577802,20783
15732,2021-02-22 04:30:00,375.14828077295186,375.8958975652164,375.0706063010283,375.61432760449344,64812
15731,2021-02-22 05:00:00,375.5949089865125,375.886188256226,375.216245935885,375.886188256226,10285
15730,2021-02-22 05:30:00,375.97357203714,376.17746752593945,375.8958975652164,376.1386302899776,10791
15729,2021-02-22 06:00:00,376.1580489079585,376.3425257787771,375.84735102026417,375.84735102026417,29244
15728,2021-02-22 06:30:00,375.9153161831973,376.1386302899776,375.6434555314647,375.6531648404552,21003
15727,2021-02-22 07:00:00,375.7211300033884,375.82793240228324,375.4589786606462,375.82793240228324,56341
15726,2021-02-22 07:30:00,375.80851378430236,376.1386302899776,375.7890951663215,376.0512465090636,124291
15725,2021-02-22 08:00:00,376.0124092731018,376.0512465090636,375.14828077295186,375.6434555314647,342848
